@relation Features_predicted

@attribute word0 numeric
@attribute word1 numeric
@attribute word2 numeric
@attribute word3 numeric
@attribute word4 numeric
@attribute word5 numeric
@attribute word6 numeric
@attribute word7 numeric
@attribute word8 numeric
@attribute word9 numeric
@attribute word10 numeric
@attribute word11 numeric
@attribute word12 numeric
@attribute word13 numeric
@attribute word14 numeric
@attribute word15 numeric
@attribute word16 numeric
@attribute word17 numeric
@attribute word18 numeric
@attribute word19 numeric
@attribute word20 numeric
@attribute word21 numeric
@attribute word22 numeric
@attribute word23 numeric
@attribute word24 numeric
@attribute word25 numeric
@attribute word26 numeric
@attribute word27 numeric
@attribute word28 numeric
@attribute word29 numeric
@attribute word30 numeric
@attribute word31 numeric
@attribute word32 numeric
@attribute word33 numeric
@attribute word34 numeric
@attribute word35 numeric
@attribute predictedclass {1,2,3,4,5,6,7,8,9,10}
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.072375,0.030808,0.008633,0.004372,0.003861,0.004942,0.009503,0.034454,0.072375,0.072375,0.026262,0.010182,0.005943,0.005477,0.008532,0.014027,0.033008,0.072375,0.072375,0.038096,0.011298,0.007816,0.007134,0.008025,0.012251,0.033462,0.072375,0.072375,0.025982,0.009284,0.00756,0.007663,0.009184,0.013736,0.029505,0.072375,8,4
0.06232,0.040998,0.012485,0.008013,0.008074,0.009069,0.01417,0.032391,0.06232,0.06232,0.027405,0.012281,0.006741,0.006845,0.00757,0.012726,0.024334,0.06232,0.06232,0.056084,0.018417,0.010714,0.008962,0.009946,0.016498,0.030248,0.06232,0.06232,0.04491,0.011698,0.008002,0.00845,0.010532,0.015005,0.02887,0.06232,5,4
0.067831,0.029571,0.012266,0.006778,0.0053,0.006167,0.016556,0.04314,0.067831,0.067831,0.030963,0.012138,0.006348,0.005708,0.007128,0.01165,0.034005,0.067831,0.067831,0.037736,0.015236,0.008544,0.007414,0.004941,0.012493,0.029363,0.067831,0.067831,0.035344,0.011622,0.007972,0.008905,0.0081,0.012137,0.029828,0.067831,4,6
0.073631,0.041635,0.017668,0.006312,0.004541,0.006213,0.010001,0.031057,0.073631,0.073631,0.033873,0.013106,0.007066,0.006701,0.005143,0.009934,0.028279,0.073631,0.073631,0.018144,0.007988,0.005443,0.004527,0.005252,0.009579,0.036994,0.073631,0.073631,0.023151,0.008972,0.007331,0.006476,0.006828,0.011699,0.037037,0.073631,7,6
0.07019,0.030382,0.011488,0.005529,0.005989,0.006778,0.013786,0.036236,0.07019,0.07019,0.025454,0.009537,0.007717,0.007677,0.007487,0.017146,0.036213,0.07019,0.07019,0.033727,0.011581,0.005728,0.00589,0.006492,0.011962,0.033451,0.07019,0.07019,0.033803,0.014551,0.007137,0.005832,0.006969,0.010491,0.029448,0.07019,6,6
0.077218,0.028429,0.006334,0.004192,0.005116,0.004993,0.011508,0.04138,0.077218,0.077218,0.031061,0.013349,0.007014,0.005497,0.004435,0.012009,0.039675,0.077218,0.077218,0.033066,0.010389,0.004614,0.00503,0.004202,0.00922,0.035194,0.077218,0.077218,0.024009,0.008664,0.003547,0.004998,0.00296,0.007861,0.019746,0.070979,7,6
0.043545,0.043545,0.035712,0.014794,0.016261,0.014377,0.024574,0.038134,0.043545,0.043545,0.04249,0.024839,0.008111,0.015301,0.009965,0.024507,0.033637,0.041384,0.043545,0.043545,0.024684,0.009831,0.011763,0.010437,0.03097,0.043545,0.043545,0.041302,0.025429,0.016145,0.004595,0.01199,0.006075,0.027239,0.043545,0.043545,6,5
0.055797,0.02958,0.011719,0.006544,0.005967,0.006947,0.01083,0.026043,0.055932,0.06064,0.043916,0.015348,0.008893,0.008988,0.010952,0.019734,0.054042,0.06064,0.06064,0.038163,0.015502,0.009016,0.009282,0.009902,0.015835,0.044504,0.06064,0.06064,0.037092,0.01465,0.008682,0.011501,0.007951,0.01168,0.031168,0.06064,4,5
0.072359,0.032484,0.008234,0.006764,0.006676,0.007137,0.016086,0.036184,0.072359,0.072359,0.027593,0.009294,0.006054,0.006053,0.011256,0.019567,0.037,0.072359,0.072359,0.033247,0.009498,0.005784,0.005985,0.007629,0.013442,0.036761,0.072359,0.072359,0.019064,0.00693,0.004241,0.006135,0.005893,0.01013,0.026004,0.072359,6,5
0.072462,0.032866,0.010711,0.005032,0.004669,0.004261,0.010415,0.031309,0.072462,0.072462,0.025592,0.010133,0.004576,0.003927,0.00638,0.015945,0.030482,0.072462,0.072462,0.043909,0.012554,0.00513,0.006584,0.005794,0.010595,0.030903,0.072462,0.072462,0.038172,0.017572,0.008302,0.00914,0.005927,0.009373,0.020047,0.072462,7,7
