@relation Features_predicted

@attribute word0 numeric
@attribute word1 numeric
@attribute word2 numeric
@attribute word3 numeric
@attribute word4 numeric
@attribute word5 numeric
@attribute word6 numeric
@attribute word7 numeric
@attribute word8 numeric
@attribute word9 numeric
@attribute word10 numeric
@attribute word11 numeric
@attribute word12 numeric
@attribute word13 numeric
@attribute word14 numeric
@attribute word15 numeric
@attribute word16 numeric
@attribute word17 numeric
@attribute word18 numeric
@attribute word19 numeric
@attribute word20 numeric
@attribute word21 numeric
@attribute word22 numeric
@attribute word23 numeric
@attribute word24 numeric
@attribute word25 numeric
@attribute word26 numeric
@attribute word27 numeric
@attribute word28 numeric
@attribute word29 numeric
@attribute word30 numeric
@attribute word31 numeric
@attribute word32 numeric
@attribute word33 numeric
@attribute word34 numeric
@attribute word35 numeric
@attribute word36 numeric
@attribute word37 numeric
@attribute word38 numeric
@attribute word39 numeric
@attribute word40 numeric
@attribute word41 numeric
@attribute word42 numeric
@attribute word43 numeric
@attribute word44 numeric
@attribute word45 numeric
@attribute word46 numeric
@attribute word47 numeric
@attribute word48 numeric
@attribute word49 numeric
@attribute word50 numeric
@attribute word51 numeric
@attribute word52 numeric
@attribute word53 numeric
@attribute word54 numeric
@attribute word55 numeric
@attribute word56 numeric
@attribute word57 numeric
@attribute word58 numeric
@attribute word59 numeric
@attribute word60 numeric
@attribute word61 numeric
@attribute word62 numeric
@attribute word63 numeric
@attribute predictedclass {1,2,3,4,5,6,7,8,9,10}
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
-0.00104,-0.002914,0.001505,0.003003,-0.011841,-0.015102,0.011841,0.015574,-0.018032,-0.001191,0.026935,0.009949,0.001345,-0.002269,0.002212,0.003143,-0.020956,0.001075,0.022018,0.023461,0.129062,-0.009676,0.433701,0.209806,-0.105867,0.126151,0.213324,0.138725,-0.007259,-0.000074,0.023673,0.015485,0.020075,-0.024439,0.020282,0.031719,0.189065,-0.098395,0.715845,0.138627,-0.040868,-0.018149,0.240627,0.07345,-0.024716,0.00313,0.025213,0.008089,-0.000393,-0.000886,0.002671,0.001929,0.031672,0.012087,0.072016,0.022129,-0.007612,-0.015188,0.038258,0.016051,-0.001501,-0.003296,0.001633,0.003296,7,5
-0.002098,0.002643,0.002098,0.002856,0.016834,0.004726,0.096131,0.020908,-0.007192,0.003209,0.010744,0.009482,-0.002725,0.001559,0.002725,0.001559,-0.00792,0.004348,0.008663,0.004481,0.120247,0.078738,0.629945,0.119441,-0.110312,0.008793,0.110312,0.051324,-0.008999,-0.002842,0.010486,0.008579,0.001398,-0.014346,0.007262,0.033508,0.147629,-0.123456,0.591762,0.190249,-0.187855,-0.102971,0.187855,0.120914,-0.000053,-0.013205,0.009968,0.013279,-0.002505,-0.004756,0.002543,0.004952,0.028902,-0.007771,0.078514,0.01887,-0.026171,-0.013243,0.028088,0.016493,0.000654,-0.001386,0.000716,0.001467,6,5
-0.010563,-0.016126,0.010563,0.016127,0.045606,-0.058294,0.059101,0.058668,0.025353,-0.000863,0.025353,0.01139,0.002498,-0.001753,0.002514,0.001783,0.007534,-0.011558,0.046139,0.029925,0.156162,0.042342,0.313235,0.15334,0.424553,-0.10429,0.429679,0.123919,0.011132,-0.011842,0.011132,0.011842,0.056942,0.007768,0.061819,0.008847,0.008728,0.033502,0.313303,0.083678,0.396423,0.030999,0.398176,0.07298,0.012957,0.001457,0.01305,0.005994,0.008313,0.000684,0.008592,0.001566,0.025379,0.003722,0.047384,0.018017,0.037453,0.011136,0.040797,0.016278,0.001594,-0.000073,0.001598,0.000482,7,7
-0.022263,0.003502,0.022325,0.006012,0.071601,0.001571,0.083518,0.016344,0.017071,0.009194,0.01815,0.00982,-0.000039,-0.000515,0.000631,0.000614,-0.058073,0.02335,0.060761,0.029252,0.31569,0.127809,0.713568,0.166257,0.058962,0.035519,0.062524,0.041907,-0.003042,-0.002482,0.009087,0.005151,-0.021228,-0.003081,0.021295,0.016756,0.129879,0.0341,0.428895,0.260649,0.046637,-0.117829,0.056014,0.150081,-0.011944,-0.01646,0.012419,0.01646,-0.001133,0.000666,0.001145,0.000666,-0.005476,0.006986,0.005476,0.006986,-0.003634,0.007162,0.004501,0.007162,-0.001108,0.000158,0.001108,0.000158,6,7
-0.001564,-0.001623,0.001623,0.001623,-0.001575,-0.012329,0.003212,0.012499,0.001495,-0.004529,0.002612,0.004868,-0.000637,-0.000183,0.000637,0.000183,-0.010711,-0.02059,0.012814,0.022653,-0.02015,-0.140998,0.055846,0.160641,0.089241,-0.181974,0.099735,0.181974,0.004232,-0.003599,0.006355,0.007073,0.004694,0.028814,0.008749,0.028943,-0.389655,-0.101169,0.411001,0.248699,0.445396,0.0707,0.445396,0.193046,0.005007,0.013321,0.006681,0.014815,-0.002595,-0.002045,0.003123,0.002268,-0.06142,-0.034757,0.075319,0.04213,0.094836,-0.006603,0.094836,0.018574,0.000833,-0.000966,0.000841,0.001026,7,6
-0.000069,-0.00083,0.000386,0.000993,-0.004725,-0.010538,0.009959,0.011028,0.008357,-0.008677,0.008983,0.009458,-0.000371,0.000451,0.000956,0.00056,0.012901,-0.001839,0.016363,0.017172,-0.276199,-0.083605,0.298293,0.118262,0.304211,-0.047138,0.304211,0.088874,0.00008,0.000874,0.004702,0.003055,0.012306,0.0001,0.012829,0.009617,-0.128172,-0.071768,0.687351,0.125744,0.210959,0.037129,0.210959,0.052083,0.001403,0.003723,0.003017,0.00599,0.001063,-0.000772,0.001925,0.001536,0.007734,0.000835,0.108169,0.029128,0.02036,0.01007,0.020766,0.011712,-0.000107,-0.000978,0.000364,0.001074,6,6
-0.007284,0.000728,0.008937,0.001692,0.036814,0.006707,0.039181,0.015588,0.016646,0.02135,0.020233,0.021508,-0.000242,0.000532,0.000268,0.000535,-0.105951,0.041949,0.106124,0.041949,0.465096,-0.032857,0.593101,0.236584,0.022339,0.026131,0.034861,0.053845,0.001253,-0.002008,0.00181,0.004161,-0.017899,-0.016838,0.018995,0.032319,0.184728,0.146965,0.44158,0.26363,0.018388,-0.066995,0.057276,0.081272,-0.002958,-0.017029,0.003618,0.017029,-0.002448,0.004137,0.002448,0.004181,0.009017,0.014415,0.009804,0.015484,-0.013437,-0.002642,0.014027,0.00396,-0.000229,-0.00137,0.000284,0.00137,6,6
-0.002035,-0.002008,0.002627,0.002317,0.04704,-0.050516,0.063398,0.050667,-0.005663,-0.015827,0.020208,0.015938,-0.002192,-0.00077,0.002202,0.00078,-0.100696,-0.026051,0.101027,0.04033,0.280285,-0.071374,0.378663,0.167284,0.212706,-0.072245,0.362553,0.133545,-0.013523,-0.005549,0.016016,0.013413,-0.070475,-0.005911,0.086137,0.032083,0.169608,0.21457,0.295991,0.215781,0.326279,0.084295,0.393949,0.100384,-0.016562,0.022916,0.016664,0.024772,0.006877,0.005593,0.016545,0.00908,0.009303,0.050159,0.018101,0.052701,0.003508,0.012237,0.01273,0.013435,-0.000389,0.000799,0.000414,0.001063,7,6
-0.004588,0.001488,0.004642,0.002097,0.013114,-0.003573,0.039962,0.009481,0.014158,0.007886,0.020646,0.00854,0.000959,0.001827,0.001872,0.001827,-0.011133,0.007532,0.013613,0.00778,-0.091113,-0.02488,0.398949,0.20542,0.257268,-0.072912,0.293791,0.149129,0.004594,0.004388,0.005961,0.005535,-0.006825,-0.008869,0.010502,0.0139,-0.323109,0.202895,0.323475,0.257012,0.365962,0.063421,0.365962,0.127848,0.000683,-0.00353,0.001871,0.00353,-0.001462,0.001141,0.001462,0.002368,-0.000516,-0.000507,0.006603,0.025299,0.013384,0.014892,0.013412,0.01495,0.000105,-0.000748,0.000626,0.00104,6,6
0.000881,-0.002287,0.001092,0.002293,0.004038,-0.022898,0.007163,0.022925,0.016288,0.003392,0.017452,0.008153,0.001154,0.000585,0.001222,0.000611,-0.014842,-0.059857,0.015826,0.059857,0.368682,-0.096307,0.381309,0.254988,0.175393,0.094842,0.175393,0.099421,0.003158,0.006095,0.005113,0.006228,-0.030735,0.017206,0.068635,0.085936,0.469905,0.044261,0.469905,0.128165,0.183538,-0.066898,0.183538,0.069625,0.002156,-0.003947,0.00226,0.004776,0.008054,0.000177,0.010439,0.003653,0.033244,0.000169,0.033244,0.006527,0.029657,-0.007978,0.029657,0.009627,0.000848,-0.001578,0.00088,0.001593,7,5
