@relation Features_predicted

@attribute word0 numeric
@attribute word1 numeric
@attribute word2 numeric
@attribute word3 numeric
@attribute word4 numeric
@attribute word5 numeric
@attribute word6 numeric
@attribute word7 numeric
@attribute word8 numeric
@attribute word9 numeric
@attribute word10 numeric
@attribute word11 numeric
@attribute word12 numeric
@attribute word13 numeric
@attribute word14 numeric
@attribute word15 numeric
@attribute word16 numeric
@attribute word17 numeric
@attribute word18 numeric
@attribute word19 numeric
@attribute word20 numeric
@attribute word21 numeric
@attribute word22 numeric
@attribute word23 numeric
@attribute word24 numeric
@attribute word25 numeric
@attribute word26 numeric
@attribute word27 numeric
@attribute word28 numeric
@attribute word29 numeric
@attribute word30 numeric
@attribute word31 numeric
@attribute word32 numeric
@attribute word33 numeric
@attribute word34 numeric
@attribute word35 numeric
@attribute word36 numeric
@attribute word37 numeric
@attribute word38 numeric
@attribute word39 numeric
@attribute word40 numeric
@attribute word41 numeric
@attribute word42 numeric
@attribute word43 numeric
@attribute word44 numeric
@attribute word45 numeric
@attribute word46 numeric
@attribute word47 numeric
@attribute word48 numeric
@attribute word49 numeric
@attribute word50 numeric
@attribute word51 numeric
@attribute word52 numeric
@attribute word53 numeric
@attribute word54 numeric
@attribute word55 numeric
@attribute word56 numeric
@attribute word57 numeric
@attribute word58 numeric
@attribute word59 numeric
@attribute word60 numeric
@attribute word61 numeric
@attribute word62 numeric
@attribute word63 numeric
@attribute predictedclass {1,2,3,4,5,6,7,8,9,10}
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
-0.001072,-0.001977,0.001133,0.002128,0.003784,-0.050137,0.009793,0.051849,0.011868,-0.015637,0.01268,0.021728,0.000127,-0.00013,0.000195,0.000179,-0.011807,-0.021141,0.040296,0.034302,-0.039467,-0.001406,0.321239,0.319377,0.348402,-0.076306,0.438356,0.106217,0.004165,-0.000186,0.006081,0.004965,0.003043,0.000912,0.039902,0.020075,0.067535,-0.095372,0.193215,0.227173,0.320761,0.05548,0.47542,0.077905,0.005922,-0.003005,0.005922,0.003005,0.001957,0.003971,0.005542,0.005265,0.007896,0.047154,0.030186,0.068771,0.024826,0.011485,0.032668,0.01494,0.000194,0.000123,0.000221,0.000259,6,7
0.000494,-0.00147,0.005206,0.005462,0.05024,-0.028343,0.059286,0.034566,0.021084,-0.012048,0.023837,0.016107,-0.000016,0.000102,0.000338,0.001389,0.004136,0.006486,0.059215,0.059607,0.036415,0.141067,0.171015,0.214712,0.459051,-0.080607,0.48127,0.103924,-0.000047,0.003579,0.001233,0.003579,0.025481,0.009602,0.052861,0.034337,0.09786,0.263315,0.205362,0.299498,0.235182,0.151543,0.305133,0.173165,-0.002488,0.005363,0.003554,0.005376,-0.000574,0.000366,0.003837,0.004904,0.019074,-0.056202,0.030852,0.065903,0.018038,-0.003831,0.029286,0.010959,-0.000097,0.000682,0.000257,0.000682,7,7
-0.003083,-0.002487,0.003361,0.002645,-0.000903,-0.033431,0.023709,0.043853,0.01991,-0.032353,0.024602,0.05307,-0.000168,-0.000168,0.003046,0.000999,-0.053655,-0.009988,0.055377,0.011883,-0.00457,-0.122402,0.313887,0.311056,0.102421,-0.134064,0.277914,0.218134,0.051742,0.002002,0.051763,0.016333,-0.057551,0.015462,0.060134,0.018654,-0.112399,0.179931,0.384935,0.340412,0.220062,0.13183,0.367767,0.297455,0.023059,0.008647,0.023919,0.009553,-0.003108,0.00238,0.003116,0.00244,-0.003905,0.03427,0.017791,0.053045,0.014917,0.042838,0.019721,0.04379,0.000856,0.000809,0.001088,0.001241,6,7
-0.001848,-0.006309,0.001897,0.00632,0.00349,-0.066634,0.008789,0.067179,0.022076,-0.034262,0.023193,0.038502,0.000095,0.000147,0.000381,0.000391,0.02423,0.012919,0.04345,0.045172,-0.084063,0.060735,0.280975,0.254093,0.352835,-0.051154,0.417446,0.10621,0.002965,-0.000486,0.004826,0.003142,0.007047,-0.023209,0.024823,0.044895,0.072872,-0.13906,0.19597,0.228519,0.316053,0.043039,0.527318,0.090187,0.002179,-0.002606,0.006888,0.003099,-0.002004,0.004988,0.00879,0.011656,0.007831,0.026436,0.031281,0.031767,0.045404,0.024087,0.052272,0.026119,0.000269,0.000003,0.000272,0.000139,7,7
-0.001038,0.005637,0.006511,0.008504,0.026639,0.046997,0.035209,0.055627,0.031565,0.052899,0.047369,0.05339,0.001977,0.000658,0.00249,0.000752,-0.020007,0.022918,0.028053,0.034762,0.186134,-0.267917,0.231431,0.522815,0.132732,-0.115564,0.250291,0.164906,0.012399,0.004841,0.013644,0.004841,-0.017669,0.030803,0.026003,0.031444,-0.057995,0.311367,0.132276,0.350114,0.254892,0.044682,0.309312,0.134565,0.010317,0.00266,0.011511,0.004226,-0.000483,0.000975,0.000651,0.001016,-0.003606,0.020219,0.004295,0.020219,0.002215,0.021366,0.0083,0.02303,0.002927,-0.000865,0.002929,0.001267,6,7
-0.004237,-0.001322,0.004241,0.001581,-0.033758,0.024165,0.051781,0.051424,0.040843,-0.01902,0.045226,0.028231,-0.008283,0.003102,0.008359,0.003239,-0.053935,-0.01786,0.054022,0.021916,-0.050568,-0.315987,0.21671,0.451315,0.186807,-0.061492,0.394506,0.279099,-0.02485,0.015091,0.028422,0.020461,-0.082239,0.015128,0.083279,0.024267,-0.038144,0.064626,0.131989,0.136096,0.337785,0.053044,0.340909,0.225495,-0.008916,-0.013428,0.010926,0.013428,-0.001553,0.000191,0.004199,0.001864,-0.021096,0.054422,0.033331,0.072644,0.018609,0.033193,0.027331,0.035693,-0.00016,0.000026,0.000274,0.000955,6,5
0.002611,0.000967,0.003171,0.005136,-0.006285,-0.075072,0.036251,0.086124,0.030743,-0.034696,0.032646,0.035699,-0.000939,-0.000313,0.001889,0.000579,-0.035927,-0.032957,0.099206,0.049263,-0.039415,-0.032481,0.110297,0.105993,0.422675,-0.076843,0.529548,0.147625,0.009466,-0.003507,0.028139,0.006894,-0.014837,0.03996,0.029616,0.042433,-0.066893,0.275943,0.181322,0.294899,0.286805,0.144627,0.291034,0.241949,0.005003,0.001877,0.009806,0.003672,-0.000274,-0.000245,0.003825,0.001415,-0.004422,-0.004041,0.018745,0.007484,0.017074,0.000525,0.01736,0.010748,0.00148,-0.000046,0.002453,0.001089,6,5
0.003515,-0.002439,0.004612,0.002656,0.041178,0.002064,0.055596,0.031018,-0.003969,0.009196,0.010872,0.010012,0.002859,-0.00141,0.004202,0.001575,0.002359,0.00101,0.010718,0.007744,0.305302,-0.063067,0.46355,0.187137,0.071891,-0.016255,0.377744,0.190229,0.005131,-0.004552,0.017726,0.005526,-0.002875,-0.000973,0.005897,0.004818,0.402237,0.014836,0.449557,0.098484,0.007963,-0.028155,0.245883,0.132086,-0.011542,-0.004525,0.017087,0.005605,0.000859,0.000806,0.002241,0.001308,0.04194,0.020082,0.067302,0.026079,-0.012171,-0.015001,0.021879,0.02243,-0.001938,-0.002686,0.002938,0.002736,5,5
0.000275,0.000251,0.000288,0.00032,-0.007117,-0.005114,0.007696,0.005835,-0.002788,-0.008957,0.004323,0.008957,-0.000154,-0.000109,0.000336,0.000289,-0.004661,-0.00981,0.006846,0.013785,-0.149377,-0.277994,0.310233,0.277994,0.167869,-0.093591,0.167869,0.102621,-0.008272,-0.00139,0.009799,0.003472,-0.015104,-0.069113,0.024856,0.075576,-0.065958,-0.178161,0.455653,0.302201,0.371737,0.039072,0.378122,0.075002,-0.011617,-0.002135,0.013192,0.004361,-0.002548,0.003108,0.006815,0.009992,0.063583,0.030388,0.077895,0.058399,0.012922,0.00113,0.017474,0.01539,0.00047,-0.000688,0.000814,0.001006,6,5
0.001665,0.00491,0.006936,0.006327,-0.075214,-0.041513,0.076566,0.088648,0.008048,0.0197,0.049691,0.090365,0.009854,-0.01333,0.010569,0.014509,-0.107429,-0.045228,0.144856,0.053292,0.046905,0.027588,0.385145,0.264843,0.211131,0.100317,0.472679,0.301365,-0.078117,0.054319,0.128782,0.064265,-0.12319,-0.002794,0.155381,0.020832,0.149062,-0.079612,0.184622,0.124495,0.012014,-0.205877,0.221948,0.253988,0.023666,-0.057119,0.139234,0.100795,-0.007786,0.000283,0.017916,0.006177,-0.015162,0.000206,0.02506,0.021708,-0.00119,-0.010146,0.005264,0.011794,-0.0002,-0.000901,0.000992,0.001395,6,5
