@relation Features
@ATTRIBUTE word0 NUMERIC
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE word3 NUMERIC
@ATTRIBUTE word4 NUMERIC
@ATTRIBUTE word5 NUMERIC
@ATTRIBUTE word6 NUMERIC
@ATTRIBUTE word7 NUMERIC
@ATTRIBUTE word8 NUMERIC
@ATTRIBUTE word9 NUMERIC
@ATTRIBUTE word10 NUMERIC
@ATTRIBUTE word11 NUMERIC
@ATTRIBUTE word12 NUMERIC
@ATTRIBUTE word13 NUMERIC
@ATTRIBUTE word14 NUMERIC
@ATTRIBUTE word15 NUMERIC
@ATTRIBUTE word16 NUMERIC
@ATTRIBUTE word17 NUMERIC
@ATTRIBUTE word18 NUMERIC
@ATTRIBUTE word19 NUMERIC
@ATTRIBUTE word20 NUMERIC
@ATTRIBUTE word21 NUMERIC
@ATTRIBUTE word22 NUMERIC
@ATTRIBUTE word23 NUMERIC
@ATTRIBUTE word24 NUMERIC
@ATTRIBUTE word25 NUMERIC
@ATTRIBUTE word26 NUMERIC
@ATTRIBUTE word27 NUMERIC
@ATTRIBUTE word28 NUMERIC
@ATTRIBUTE word29 NUMERIC
@ATTRIBUTE word30 NUMERIC
@ATTRIBUTE word31 NUMERIC
@ATTRIBUTE word32 NUMERIC
@ATTRIBUTE word33 NUMERIC
@ATTRIBUTE word34 NUMERIC
@ATTRIBUTE word35 NUMERIC
@ATTRIBUTE word36 NUMERIC
@ATTRIBUTE word37 NUMERIC
@ATTRIBUTE word38 NUMERIC
@ATTRIBUTE word39 NUMERIC
@ATTRIBUTE word40 NUMERIC
@ATTRIBUTE word41 NUMERIC
@ATTRIBUTE word42 NUMERIC
@ATTRIBUTE word43 NUMERIC
@ATTRIBUTE word44 NUMERIC
@ATTRIBUTE word45 NUMERIC
@ATTRIBUTE word46 NUMERIC
@ATTRIBUTE word47 NUMERIC
@ATTRIBUTE word48 NUMERIC
@ATTRIBUTE word49 NUMERIC
@ATTRIBUTE word50 NUMERIC
@ATTRIBUTE word51 NUMERIC
@ATTRIBUTE word52 NUMERIC
@ATTRIBUTE word53 NUMERIC
@ATTRIBUTE word54 NUMERIC
@ATTRIBUTE word55 NUMERIC
@ATTRIBUTE word56 NUMERIC
@ATTRIBUTE word57 NUMERIC
@ATTRIBUTE word58 NUMERIC
@ATTRIBUTE word59 NUMERIC
@ATTRIBUTE word60 NUMERIC
@ATTRIBUTE word61 NUMERIC
@ATTRIBUTE word62 NUMERIC
@ATTRIBUTE word63 NUMERIC
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10}
@Data
0.000124,-0.000203,0.000128,0.000215,-0.004111,-0.00418,0.007793,0.005006,-0.002098,0.005351,0.002878,0.0064,0.001151,0.00048,0.001151,0.00048,-0.000467,-0.00061,0.001195,0.002103,-0.167655,-0.227884,0.221453,0.236445,0.196999,-0.233856,0.277791,0.2836,-0.003501,0.00036,0.011881,0.003497,-0.00246,-0.003077,0.003605,0.004118,-0.199762,0.235896,0.265369,0.303986,0.271062,0.268199,0.282948,0.278636,-0.008698,0.003174,0.012133,0.004063,-0.005384,-0.003205,0.005409,0.003568,0.022559,-0.013634,0.026709,0.016273,0.000659,0.000605,0.001784,0.001704,-0.000814,0.000433,0.000834,0.000512,7
-0.000184,0.000217,0.000216,0.000217,-0.001447,-0.004019,0.002606,0.005016,-0.010476,0.024172,0.016715,0.027823,0.003373,0.00405,0.003386,0.004371,-0.005347,-0.004207,0.005347,0.004583,-0.296532,-0.171366,0.30041,0.171803,0.356217,-0.164766,0.36003,0.172174,0.000423,0.002101,0.001153,0.002358,-0.008765,-0.002559,0.012242,0.004639,-0.190792,0.243124,0.254355,0.243124,0.254565,0.212782,0.263053,0.220444,0.00022,-0.001847,0.000961,0.002575,0.001389,0.000683,0.001871,0.000899,0.000777,-0.003031,0.006574,0.005821,-0.001097,-0.006896,0.003638,0.007811,0.00035,0.000285,0.000441,0.000299,7
-0.001465,-0.002995,0.001465,0.002995,-0.016676,-0.046078,0.018356,0.046078,0.006319,-0.020655,0.010391,0.034092,0.001896,-0.000628,0.002183,0.003973,-0.007737,-0.008548,0.007972,0.012519,-0.181985,-0.037421,0.327571,0.121536,0.307933,-0.073428,0.317755,0.163114,0.028376,0.021075,0.028376,0.021484,0.000664,0.017244,0.004372,0.025802,-0.260981,0.283021,0.270614,0.28812,0.275755,0.047902,0.394887,0.192256,0.034589,0.008734,0.034849,0.011151,0.000768,0.001092,0.001274,0.00508,0.007623,0.025233,0.020557,0.025233,-0.035547,0.01894,0.138328,0.065193,0.002943,0.000535,0.003907,0.002451,6
-0.001388,-0.00304,0.001442,0.003082,-0.003235,-0.021903,0.007167,0.021903,0.001799,-0.000759,0.00664,0.005385,-0.000255,0.000012,0.000371,0.000284,-0.006628,0.01989,0.008862,0.024004,-0.239173,-0.131601,0.281927,0.254688,0.258167,-0.137007,0.282093,0.189958,-0.012754,0.002415,0.012754,0.005207,-0.012108,0.003987,0.012231,0.007767,-0.341334,0.062776,0.368223,0.121686,0.356205,0.09883,0.362094,0.158627,-0.037903,-0.018026,0.037925,0.020356,-0.004294,-0.0014,0.004397,0.001641,-0.013478,-0.037263,0.055559,0.044057,0.029991,0.007622,0.034334,0.02538,-0.011923,-0.000578,0.012086,0.002959,6
0.001267,0.000225,0.001267,0.000959,-0.000588,-0.008562,0.010561,0.009197,0.005256,-0.030347,0.009917,0.031021,0.001489,-0.001501,0.001511,0.001542,0.021125,-0.012835,0.021125,0.023386,-0.313088,-0.108678,0.321062,0.133735,0.325763,-0.056593,0.34002,0.168519,0.011595,0.011086,0.01164,0.015353,0.067281,-0.007694,0.067281,0.02392,-0.306693,0.056759,0.309978,0.129902,0.366866,0.066531,0.366866,0.09551,-0.000184,-0.003026,0.002045,0.003944,0.010059,0.000542,0.010059,0.001794,-0.040587,0.002078,0.043415,0.00793,0.040379,-0.018454,0.046927,0.025701,-0.00047,-0.002198,0.001039,0.002248,6
0.002189,-0.00101,0.002277,0.001598,0.000657,-0.01641,0.009402,0.01641,0.014529,-0.007452,0.015581,0.009795,0.000863,0.000414,0.000863,0.000414,-0.019593,-0.004591,0.021164,0.009202,0.145014,0.025608,0.256196,0.298924,-0.006864,0.140874,0.153956,0.307763,0.036537,-0.011008,0.036973,0.013841,-0.066052,-0.028437,0.06644,0.029015,0.442042,-0.031601,0.57604,0.33118,-0.011585,0.03062,0.109443,0.105819,0.017652,0.017038,0.01949,0.018471,0.003393,0.003451,0.013299,0.008772,0.028811,0.033823,0.028811,0.034019,0.019496,0.020975,0.01986,0.020975,-0.001319,0.002552,0.001319,0.002552,6
-0.000359,0.000028,0.001508,0.000287,0.015965,0.010859,0.059875,0.013882,0.018672,0.005275,0.018672,0.007902,0.00193,0.001798,0.001963,0.001798,0.000978,0.011134,0.004822,0.012336,-0.185801,-0.002131,0.330326,0.171046,0.364367,-0.114102,0.364367,0.17166,0.010439,-0.011583,0.014006,0.016307,0.004934,0.008639,0.006902,0.00979,-0.252453,0.223723,0.260874,0.223995,0.30838,0.13316,0.341587,0.224273,-0.008703,-0.008551,0.016903,0.010533,0.000666,-0.000075,0.001037,0.00056,-0.001763,-0.003663,0.004348,0.003762,-0.014199,-0.001688,0.014623,0.005253,0.003129,-0.000053,0.003129,0.000427,6
0.000527,-0.002649,0.000527,0.002649,-0.003629,-0.017302,0.008482,0.017302,0.00302,-0.022278,0.011598,0.022278,0.003045,-0.002924,0.00317,0.002956,0.002474,0.004928,0.002964,0.004928,-0.196485,-0.073194,0.234329,0.096478,0.3165,-0.093597,0.337075,0.242348,0.008777,0.021363,0.01613,0.021814,0.001877,0.000919,0.002217,0.009042,-0.277571,0.062503,0.291655,0.079067,0.4291,0.113595,0.4291,0.180936,0.025434,0.012841,0.025732,0.012868,0.000299,0.003342,0.000776,0.003368,-0.046885,0.01973,0.049342,0.022236,0.054007,-0.019964,0.087903,0.053118,0.002333,-0.002628,0.003596,0.002934,6
-0.01133,0.001495,0.011584,0.003108,0.026029,0.038584,0.04277,0.046699,0.011037,0.020341,0.020966,0.021358,-0.002283,0.003824,0.004071,0.004245,-0.0209,-0.001489,0.021607,0.01764,0.173159,-0.034222,0.337321,0.28087,0.002599,0.101324,0.126256,0.119463,-0.003326,0.011948,0.007868,0.011948,-0.05233,-0.010415,0.052995,0.047766,0.384665,0.076724,0.623893,0.334654,-0.062343,-0.087152,0.114126,0.192563,0.012736,0.003701,0.013537,0.009075,-0.00031,0.00217,0.000426,0.002277,0.006164,0.018077,0.006472,0.018947,0.003525,0.007741,0.011383,0.011641,-0.000992,-0.000834,0.001235,0.001448,5
0.000466,-0.000511,0.000484,0.001645,-0.014809,0.023996,0.037828,0.027459,0.02067,0.02139,0.02067,0.022252,-0.000889,0.001815,0.001542,0.001815,0.001756,0.002886,0.001756,0.004735,-0.332307,-0.096696,0.337834,0.169843,0.369741,-0.170273,0.40389,0.217355,-0.012029,-0.008258,0.016023,0.011108,0.002044,-0.001822,0.002457,0.002055,-0.178432,0.13623,0.207966,0.23367,0.203119,0.19438,0.260402,0.245322,0.005806,0.011734,0.008525,0.012492,-0.000128,-0.000123,0.000185,0.000123,0.000787,0.001229,0.001056,0.001415,0.004072,-0.000671,0.004072,0.001623,-0.000294,-0.00001,0.000611,0.000155,5
